epoch,train_loss,val_loss,sel_accuracy,coverage,sel_risk,sel_f1,learning_rate
1,0.178034,0.090030,0.999084,0.996512,0.000916,0.741722,0.00010000
2,0.063116,0.068665,0.999087,0.999625,0.000913,0.741722,0.00010000
3,0.055019,0.066118,0.999110,0.999508,0.000890,0.746667,0.00010000
4,0.049135,0.066674,0.999110,0.999251,0.000890,0.746667,0.00010000
5,0.048915,0.067553,0.999110,0.999251,0.000890,0.746667,0.00010000
6,0.048146,0.065155,0.999132,0.997964,0.000868,0.751678,0.00010000
7,0.042424,0.066316,0.999132,0.997238,0.000868,0.751678,0.00010000
8,0.048740,0.065055,0.999155,0.997004,0.000845,0.756757,0.00010000
9,0.043787,0.065256,0.999131,0.997074,0.000869,0.751678,0.00010000
10,0.040392,0.065434,0.999132,0.997238,0.000868,0.751678,0.00010000
11,0.036957,0.065696,0.999132,0.997355,0.000868,0.751678,0.00010000
12,0.038979,0.063951,0.999178,0.996325,0.000822,0.761905,0.00010000
13,0.036783,0.065916,0.999155,0.997121,0.000845,0.756757,0.00010000
14,0.038152,0.066231,0.999155,0.997074,0.000845,0.756757,0.00010000
15,0.033799,0.065470,0.999155,0.997308,0.000845,0.756757,0.00010000
16,0.032811,0.065443,0.999155,0.997191,0.000845,0.756757,0.00010000
17,0.034293,0.068738,0.999156,0.997846,0.000844,0.756757,0.00005000
18,0.034828,0.068981,0.999156,0.997893,0.000844,0.756757,0.00005000
19,0.034450,0.065034,0.999177,0.995927,0.000823,0.761905,0.00005000
20,0.034776,0.070237,0.999155,0.997332,0.000845,0.756757,0.00005000
21,0.033583,0.067927,0.999155,0.997214,0.000845,0.756757,0.00002500
22,0.033587,0.068117,0.999155,0.997097,0.000845,0.756757,0.00002500
