epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,learning_rate
1,0.255393,0.131111,0.998736,0.606383,0.770270,0.678571,0.00010000
2,0.113274,0.099327,0.998900,0.655172,0.770270,0.708075,0.00010000
3,0.092092,0.097724,0.998900,0.655172,0.770270,0.708075,0.00010000
4,0.093279,0.100481,0.998876,0.647727,0.770270,0.703704,0.00010000
5,0.091547,0.106174,0.998923,0.662791,0.770270,0.712500,0.00010000
6,0.091811,0.103855,0.998759,0.610526,0.783784,0.686391,0.00010000
7,0.081212,0.106179,0.998806,0.626374,0.770270,0.690909,0.00010000
8,0.084302,0.108598,0.998853,0.640449,0.770270,0.699387,0.00005000
9,0.082556,0.107533,0.998830,0.630435,0.783784,0.698795,0.00005000
10,0.081494,0.106713,0.998736,0.602041,0.797297,0.686047,0.00005000
11,0.075423,0.107591,0.998853,0.640449,0.770270,0.699387,0.00005000
12,0.078165,0.107655,0.998783,0.614583,0.797297,0.694118,0.00002500
13,0.082278,0.109064,0.998736,0.602041,0.797297,0.686047,0.00002500
