epoch,train_loss,val_loss,sel_accuracy,coverage,sel_risk,sel_f1,learning_rate,epoch_time_sec,process_memory_mb,throughput_samples_per_sec
1,0.238951,0.068319,0.999668,0.986845,0.000332,0.000000,0.00010000,11.930,471.12,16711.43
2,0.088207,0.023398,0.999647,0.994218,0.000353,0.000000,0.00010000,11.838,471.29,16841.72
3,0.071028,0.012655,0.999670,0.994195,0.000330,0.000000,0.00010000,11.827,471.31,16856.61
4,0.068405,0.008697,0.999670,0.994078,0.000330,0.000000,0.00010000,11.855,471.27,16817.29
5,0.067379,0.007023,0.999694,0.993961,0.000306,0.000000,0.00010000,11.744,471.05,16976.40
6,0.069491,0.006509,0.999693,0.992673,0.000307,0.000000,0.00010000,11.644,471.31,17122.12
7,0.067617,0.005915,0.999717,0.992931,0.000283,0.000000,0.00010000,11.657,471.33,17102.91
8,0.064401,0.004940,0.999670,0.994218,0.000330,0.000000,0.00010000,11.887,471.32,16771.72
9,0.060266,0.005221,0.999717,0.993188,0.000283,0.000000,0.00010000,12.106,471.06,16468.37
10,0.065039,0.004458,0.999694,0.994569,0.000306,0.000000,0.00010000,11.794,471.32,16903.95
11,0.058689,0.004935,0.999717,0.993071,0.000283,0.000000,0.00010000,11.801,471.32,16893.29
12,0.066675,0.004402,0.999718,0.994382,0.000282,0.000000,0.00010000,12.031,471.32,16570.88
13,0.058292,0.004279,0.999694,0.994686,0.000306,0.000000,0.00010000,11.877,471.13,16786.41
14,0.057739,0.004419,0.999694,0.994406,0.000306,0.000000,0.00010000,11.766,471.45,16944.51
15,0.054271,0.004250,0.999694,0.994429,0.000306,0.000000,0.00010000,11.441,471.45,17425.54
16,0.052900,0.003876,0.999694,0.995248,0.000306,0.000000,0.00010000,11.701,471.46,17038.60
17,0.059610,0.003752,0.999694,0.995248,0.000306,0.000000,0.00010000,11.762,471.04,16949.29
18,0.055649,0.003751,0.999694,0.995318,0.000306,0.000000,0.00010000,11.977,471.38,16645.71
19,0.055767,0.003762,0.999694,0.995178,0.000306,0.000000,0.00010000,12.261,465.47,16260.23
20,0.052350,0.004060,0.999694,0.994499,0.000306,0.000000,0.00010000,12.593,465.49,15831.54
21,0.054382,0.003856,0.999694,0.994921,0.000306,0.000000,0.00010000,11.768,465.29,16940.80
22,0.054578,0.003992,0.999718,0.994569,0.000282,0.000000,0.00010000,12.468,466.20,15990.54
23,0.051775,0.003772,0.999718,0.994967,0.000282,0.000000,0.00005000,12.503,465.34,15944.86
24,0.050580,0.003888,0.999718,0.994476,0.000282,0.000000,0.00005000,12.417,465.34,16056.14
25,0.048699,0.003605,0.999694,0.995482,0.000306,0.000000,0.00005000,12.630,465.19,15785.18
26,0.047418,0.003736,0.999718,0.994991,0.000282,0.000000,0.00005000,12.688,466.18,15713.08
27,0.051120,0.003645,0.999718,0.995248,0.000282,0.000000,0.00005000,12.389,465.64,16092.30
28,0.045855,0.003527,0.999694,0.995623,0.000306,0.000000,0.00005000,12.123,465.64,16445.13
29,0.052253,0.003515,0.999694,0.995693,0.000306,0.000000,0.00005000,12.738,465.42,15651.11
30,0.045940,0.003452,0.999694,0.995904,0.000306,0.000000,0.00005000,12.659,466.40,15748.32
31,0.047551,0.003663,0.999718,0.995365,0.000282,0.000000,0.00005000,12.540,465.43,15897.69
32,0.047475,0.003599,0.999694,0.995506,0.000306,0.000000,0.00005000,12.588,465.43,15838.12
33,0.048133,0.003796,0.999718,0.995038,0.000282,0.000000,0.00005000,12.188,465.29,16357.75
34,0.045475,0.003483,0.999694,0.995716,0.000306,0.000000,0.00005000,12.118,465.44,16451.35
35,0.043897,0.003845,0.999718,0.994897,0.000282,0.000000,0.00002500,11.676,465.40,17075.01
36,0.042280,0.003480,0.999694,0.995857,0.000306,0.000000,0.00002500,12.638,465.40,15774.48
37,0.051848,0.003541,0.999694,0.995576,0.000306,0.000000,0.00002500,13.000,465.19,15336.24
38,0.044926,0.003564,0.999718,0.995553,0.000282,0.000000,0.00002500,12.756,465.64,15629.22
39,0.044825,0.003393,0.999695,0.996208,0.000305,0.000000,0.00001250,12.524,465.39,15918.68
40,0.046807,0.003408,0.999694,0.996044,0.000306,0.000000,0.00001250,12.415,465.39,16058.13
41,0.050321,0.003494,0.999694,0.995740,0.000306,0.000000,0.00001250,13.131,465.12,15182.74
42,0.047372,0.003706,0.999718,0.995272,0.000282,0.000000,0.00001250,12.982,465.96,15357.03
43,0.048215,0.003598,0.999718,0.995389,0.000282,0.000000,0.00001250,13.614,465.33,14644.08
44,0.044379,0.003558,0.999694,0.995623,0.000306,0.000000,0.00000625,13.308,465.31,14980.36
45,0.041524,0.003446,0.999694,0.995904,0.000306,0.000000,0.00000625,13.023,465.18,15308.39
46,0.044629,0.003673,0.999718,0.995342,0.000282,0.000000,0.00000625,12.383,465.52,16099.40
47,0.044672,0.003613,0.999718,0.995482,0.000282,0.000000,0.00000625,12.450,465.38,16012.99
48,0.044023,0.003759,0.999718,0.995038,0.000282,0.000000,0.00000313,12.897,465.34,15458.65
49,0.049729,0.003439,0.999694,0.996044,0.000306,0.000000,0.00000313,13.356,465.27,14926.58
